texts,texts_deepcut,action,object,destination
สมัครแพ็คเกจของสามจี ตอนนี้มีปัญหาการใช้งาน คือใช้สามจีไม่ได้,สมัคร แพ็คเกจ ของ สามจี ตอน นี้ มี ปัญหา การ ใช้ งาน คือ ใช้ สาม จี ไม่ ได้,enquire,internet,internet
ตอนนี้ระบบทรูมันนี่ปัญหารึป่าวครับ,ตอน นี้ ระบบ ทรู มัน นี่ ปัญหา รึป่าวครับ,enquire,truemoney,true money
ผมใช้โปรโทรฟรี ชม.อ่าครับ ผมโทรครบ บาทแล้วทำไมมันไม่ตัดให้,ผม ใช้ โปรโทรฟ รี ชม. อ่า ครับ ผม โทร ครบ บาท แล้ว ทำไม มัน ไม่ ตัด ให้,enquire,package,promotions
ต้องการยกเลิกแพ็คเกจเสริมของเลขหมายนี้ค่ะ,ต้องการ ยกเลิก แพ็ค เกจเสริม ของ เลขหมาย นี้ ค่ะ,cancel,service,other queries
คือเปิดทีวีแล้ว ทีวีไม่มีเสียง อะค่ะ,คือ เปิด ทีวี แล้ว ทีวี ไม่ มี เสียง อะค่ะ,enquire,nontruemove,other queries
จะสอบถามเกี่ยวกับเรื่องเปลี่ยนโปรโมชั่นค่ะ,จะ สอบถาม เกี่ยว กับ เรื่อง เปลี่ยน โปรโมชั่นค่ะ,change,package,promotions
swap แมค เป็น แอด แมค,swap แมค เป็น แอด แมค,enquire,internet,internet
จะลบข้อความครับ,จะ ลบ ข้อ ความ ครับ,cancel,service,other queries
ทำไมๆ เน๊ตช้า จังอ้่ะๆค่ะ ดู ยูทูป ไม่ได้ เลยอ่ะค่ะ,ทำไม ๆ เน๊ต ช้า จัง อ้่ะ ๆ ค่ะ ดู ยูทูป ไม่ ได้ เลย อ่ะ ค่ะ,enquire,internet,internet
ผมจะถามว่า โซเชี่ยวเน็ตเวิร์ค ไม่อั้นหมายความว่าอย่างไร,ผม จะ ถาม ว่า โซเชี่ยวเน็ต เวิร์ค ไม่ อั้น หมาย ความ ว่า อย่าง ไร,enquire,promotion,promotions
ตอนนี้อยู่ประเทศญี่ปุ่นหน่ะค่ะ เลือกเครือข่ายเป็น ดีทีที โคโมโดะ ถูกไหมค่ะ,ตอน นี้ อยู่ ประเทศญี่ปุ่น หน่ะ ค่ะ เลือก เครือข่าย เป็น ดีทีที โคโมโดะ ถูก ไหม ค่ะ,enquire,roaming,international dialing
จะสมัครแพ็คเกจส่งข้อความ จะสมัครยังไงอ่ะครับ สมัครเป็นรายวัน,จะ สมัคร แพ็คเกจ ส่ง ข้อความ จะ สมัคร ยัง ไง อ่ะ ครับ สมัคร เป็น ราย วัน,enquire,promotion,promotions
หน้าจอมันขึ้นแบบนี้ มันขึ้นอะไร,หน้า จอ มัน ขึ้น แบบ นี้ มัน ขึ้น อะไร,garbage,garbage,other queries
เชื่อมต่อ internet ไม่ได้ G เป็นอะไรหรือเปล่า,เชื่อม ต่อ internet ไม่ ได้ G เป็น อะไร หรือ เปล่า,enquire,internet,internet
หนูใช้โปรโมชั่น บาทอยู่ แต่หนูเปลี่ยนเป็นเล่นเน็ตแล้วค่ะ เดือนละ บาท ไม่ทราบว่า บาทนั้นยังจะต้องจ่ายอยู่หรือเปล่าค่ะ,หนู ใช้ โปรโมชั่น บาท อยู่ แต่ หนู เปลี่ยน เป็น เล่น เน็ต แล้ว ค่ะ เดือน ละ บาท ไม่ ทราบ ว่า บาท นั้น ยัง จะ ต้อง จ่าย อยู่ หรือ เปล่า ค่ะ,enquire,package,promotions
ขอขยายวงเงินค่ะ,ขอ ขยาย วงเงิน ค่ะ,enquire,credit,billing and payment
จะโทรไปสิงคโฟร์ ค่าบริการเท่าไหร่,จะ โทร ไป สิงคโฟร์   ค่า บริการ เท่าไหร่,enquire,idd,international dialing
พอดี โทรศัพท์โทรออกไม่ได้ค่ะ,พอดี โทรศัพท์ โทร ออก ไม่ ได้ ค่ะ,report,phone_issues,billing and payment
โปรบีบี มันหมด ของผมมันเป็นโปรอะไร,โปรบีบี มัน หมด ของ ผม มัน เป็น โปรอะไร,enquire,package,promotions
ต้องการสมัครแพคเกจอินเตอร์เน็ต บาทอ่ะครับ,ต้องการ สมัคร แพคเกจ อินเตอร์ เน็ต บาท อ่ะครับ,enquire,promotion,promotions
จะสอบถามเรื่องค่าใช้จ่ายเบอร์นี้ค่ะ,จะ สอบถาม เรื่อง ค่า ใช้จ่าย เบอร์นี้ ค่ะ,enquire,balance,billing and payment
